"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03857230","The Safety and Pharmacokinetics of Primapur and Gonal-f",,"Completed","Has Results","Area Under Curve|Pharmacokinetics|Absorption","Drug: Follitropin alfa (Primapur)|Drug: Follitropin alfa (Gonal-F)","Area Under the Serum Concentration of Follicle Stimulating Hormone (FSH) - Time Curve (AUC(0-192))|Maximum Serum Concentration of Follicle Stimulating Hormone (FSH) (Cmax)|Time to Reach a Maximum Follicle Stimulating Hormone (FSH) Serum Concentration (Tmax)|Follicle Stimulating Hormone (FSH) Apparent Terminal Half-life (T1/2)","IVFarma LLC|NADIM LLC","Female","18 Years to 40 Years   (Adult)","Phase 1","28","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","FSG-01-01","October 29, 2015","May 10, 2016","May 10, 2016","February 27, 2019","August 5, 2019","August 13, 2019","O.M. Filatov Municipal Clinical Hospital N 15, Moscow, Russian Federation","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT03857230/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03857230"
12,"NCT03850093","Preoperative Gabapentin Versus Bisoprolol for Hemodynamic Optimization During Sinus Surgery",,"Completed","Has Results","Blood Pressure","Drug: Gabapentin1200 mg|Drug: bisoprolol 2.5mg|Drug: placebo","Changes in Surgical Field Visibility|Blood Loss|Heart Rate Change|Mean Arterial Blood Pressure Change","Zagazig University","All","18 Years to 50 Years   (Adult)","Phase 4","63","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","ZU-IRB 2139-24-5-2015","August 2015","October 2016","December 2016","February 21, 2019","August 12, 2019","December 20, 2019",,"""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/93/NCT03850093/SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03850093"
13,"NCT03828149","Evaluation of Safety and Pharmacodynamics of OP0201 Compared to Placebo in Healthy Adults",,"Completed","Has Results","Healthy Adults","Combination Product: Drug:OP0201|Combination Product: Drug: Placebo","Safety (Evaluation of Adverse Events)","Novus Therapeutics, Inc","All","18 Years to 50 Years   (Adult)","Phase 1","17","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other","OP0201-C-001","February 8, 2019","March 7, 2019","March 7, 2019","February 4, 2019","December 30, 2019","December 30, 2019","Cologne University Hospital, Cologne, Germany","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/49/NCT03828149/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/49/NCT03828149/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03828149"
14,"NCT03783780","Desaturation Validation of INVSENSOR00031",,"Completed","Has Results","Healthy","Device: INVSENSOR00031","Oxygen Saturation (SpO2) Accuracy of Sensor by Arms Calculation During Non-motion|Oxygen Saturation (SpO2) Accuracy of Sensor by Arms Calculation During Motion","Masimo Corporation","All","18 Years to 50 Years   (Adult)","Not Applicable","21","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","TP-19564","December 11, 2018","December 18, 2018","December 18, 2018","December 21, 2018","July 2, 2019","December 17, 2019","Masimo Corporation, Irvine, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/80/NCT03783780/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03783780"
15,"NCT03765138","Combined Treatment of Prolonged Exposure and Pramipexole for Posttraumatic Stress Disorder and Depression",,"Terminated","Has Results","PTSD|MDD","Combination Product: PE/Pramipexole","Change in PTSD Symptoms as Measured by the Clinician Administered PTSD Scale for DSM-5 (CAPS-5)|Change in Depressive Symptoms as Measured by the Hamilton Rating Scale for Depression (HRSD).|Changes in Functional Connectivity of Fear and Reward Pathways as Measured by Functional Magentic Resonance Imaging (fMRI) Resting State Functional Connectivity (Rs-FC).","Research Foundation for Mental Hygiene, Inc.","All","18 Years to 60 Years   (Adult)","Phase 3","1","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Research Foundation for Mental","February 19, 2019","August 26, 2019","August 26, 2019","December 5, 2018","November 26, 2019","November 26, 2019","New York State Psychiatric Institute, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT03765138/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03765138"
16,"NCT03758365","Evaluation of the Vasoconstriction Properties of MC2-01 Cream",,"Completed","Has Results","Vasoconstriction","Drug: MC2-01 Cream|Drug: Clobetasol Propionate 0.05% Lotion|Drug: Betamethasone Dipropionate 0.05% Cream|Drug: Triamcinolone Acetonide 0.1% Cream|Drug: Hydrocortisone Butyrate 0.1% Cream|Drug: Desonide 0.05% Cream|Drug: Vehicle","Comparison of the Vasoconstriction Potential (Skin Blanching Effect) of the MC2-01 Cream With Active Comparators and Vehicle|Compare Local Tolerability of the MC2-01 Cream With Active Comparators and Vehicle","MC2 Therapeutics","All","18 Years to 50 Years   (Adult)","Phase 1","36","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","MC2-01-C4","November 5, 2018","November 23, 2018","November 23, 2018","November 29, 2018","January 9, 2020","January 9, 2020","CPCAD, Nice, France","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT03758365/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT03758365/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03758365"
17,"NCT03755882","Clinical Comparison of Two Marketed Reusable Cosmetic Contact Lenses",,"Completed","Has Results","Visual Acuity","Device: ACUVUE® DEFINE™ Vivid Style|Device: LACELLE™ Sparkling Brown","Visual Performance","Johnson & Johnson Vision Care, Inc.","Female","18 Years to 29 Years   (Adult)","Not Applicable","46","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","CR-6286","November 5, 2018","December 26, 2018","December 26, 2018","November 28, 2018","January 10, 2020","January 10, 2020","Sun Yat-Sen University Zhongshan Ophthalmic Center, Guanzhou, China","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/82/NCT03755882/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03755882"
18,"NCT03738020","Clinical Study to Evaluate the Correction of Wrinkles and Folds and Safety of YVOIRE Classic Versus Restylane in Nasolabial Fold Intradermal Injection",,"Completed","Has Results","Temporary Correction of Wrinkles","Device: HA IDF (YVOIRE classic)|Device: Restylane","Average of Wrinkle Severity Rating Scale (WSRS) Score Evaluated by the Evaluating Investigator at Week 26 (Visit 7) After the Final Treatment With the Investigational Medical Device","LG Life Sciences","All","30 Years to 55 Years   (Adult)","Not Applicable","58","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","LG-HACL008","January 2009","October 2009","October 2009","November 13, 2018","December 18, 2019","December 18, 2019",,,"https://ClinicalTrials.gov/show/NCT03738020"
19,"NCT03733470","Hypoxic Pulmonary Vasoconstriction Pilot Study",,"Completed","Has Results","Emphysema","Drug: Sildenafil study group","Perfused Blood Volume Assessed for a Change in Lung Inflammation Pre and Post Dose Sildenafil Administration","Eric A. Hoffman|National Institutes of Health (NIH)|National Heart, Lung, and Blood Institute (NHLBI)|University of Iowa","All","30 Years to 60 Years   (Adult)","Phase 4","22","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","201101707|5R01HL112986","June 29, 2011","January 13, 2014","January 13, 2014","November 7, 2018","October 1, 2019","October 1, 2019","University of Iowa, Iowa City, Iowa, United States",,"https://ClinicalTrials.gov/show/NCT03733470"
20,"NCT03723980","Role of Propolis Paste in Preventing Pain After Root Canal Treatment.",,"Completed","Has Results","Pain, Postoperative","Drug: Propolis|Drug: Calcium Hydroxide","Pain Intensity Measure: Visual Analogue Pain Scale|Acute Increase in Pain Score (Acute Exacerbation of Pain)|Difference of Pain Score Between Different Time Intervals","Juzer Shabbir Saifee|Dow University of Health Sciences","All","20 Years to 40 Years   (Adult)","Phase 3","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","MDSJUZER|ISRCTN66816132","November 16, 2017","April 24, 2018","October 15, 2018","October 30, 2018","June 6, 2019","June 6, 2019","Dow International Dental College, Karachi, Sindh, Pakistan","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/80/NCT03723980/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT03723980"
21,"NCT03720847","Effect of Perimenstrual Ovarian Steroid Supplementation on Perimenstrual Suicidality",,"Completed","Has Results","Suicidal Ideation","Drug: Estradiol Transdermal Patch 0.1 mg/24 hrs|Drug: Oral Micronized Progesterone|Drug: Inactive Clear Patch|Drug: Placebo capsule","Perimenstrual Change in Self-Injurious Thoughts and Behaviors Interview (SITBI) Suicidal Ideation Score|Perimenstrual Change in Self-Injurious Thoughts and Behaviors Interview (SITBI) Suicidal Planning Score|Perimenstrual Change in Beck Hopelessness Scale (BHS) Score|Perimenstrual Change in Center for Epidemiological Studies Depression Scale (CES-D) Score|Perimenstrual Change in Lack of Premeditation Subscale Score of the ""Urgency, Premeditation, Perseverance, Sensation Seeking, and Positive Urgency (UPPSP) Impulsivity Scale""|Perimenstrual Changes in Patient-Reported Outcomes Measurement Information Systems (PROMIS) Anxiety Scale Score|Perimenstrual Change in State Self-Esteem Scale Social Evaluation Subscale (SSES-SE) Score","University of North Carolina, Chapel Hill|National Institute of Mental Health (NIMH)","Female","18 Years to 45 Years   (Adult)","Phase 4","30","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","16-2078|K99MH109667","December 31, 2016","November 2017","November 2017","October 25, 2018","February 4, 2019","February 4, 2019","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/47/NCT03720847/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03720847"
22,"NCT03717064","A Study to Investigate the Effect of RO7049389 on the Pharmacokinetics of Pitavastatin in Healthy Volunteers",,"Completed","Has Results","Healthy Volunteers","Drug: RO7049389|Drug: Pitavastatin","Period 1: Maximum Plasma Concentration (Cmax) of Pitavastatin|Period 1: Plasma Concentration Versus Time (Area Under the Curve, AUC0-inf) of Pitavastatin|Period 1: Time to Maximum Concentration (Tmax) of Pitavastatin|Period 1: Apparent Total Clearance (CL/F) of Pitavastatin|Period 1: Volume of Distribution (V/F) of Pitavastatin|Period 1: Elimination Half-Life (T1/2) of Pitavastatin|Period 2: Maximum Plasma Concentration (Cmax) of Pitavastatin|Period 2: Plasma Concentration Versus Time (Area Under the Curve, AUC0-inf) of Pitavastatin|Period 2: Time to Maximum Concentration (Tmax) of Pitavastatin|Period 2: Apparent Total Clearance (CL/F) of Pitavastatin|Period 2: Volume of Distribution (V/F) of Pitavastatin|Period 2: Elimination Half-Life (T1/2) of Pitavastatin|Percentage of Participants With Adverse Events (AEs)|Period 2: Cmax of RO7049389|Period 2: AUC-tau of RO7049389|Period 1: Cmax of Pitavastatin Lactone|Period 1: AUC0-inf of Pitavastatin Lactone|Period 1: AUC Ratio of Pitavastatin Lactone to Pitavastatin|Period 2: Cmax of Pitavastatin Lactone|Period 2: AUC0-inf of Pitavastatin Lactone|Period 2: AUC Ratio of Pitavastatin Lactone to Pitavastatin","Hoffmann-La Roche","All","18 Years to 60 Years   (Adult)","Phase 1","18","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","YP40218","November 7, 2018","December 17, 2018","December 17, 2018","October 24, 2018","January 10, 2020","January 10, 2020","Covance Research Unit - Daytona, Daytona Beach, Florida, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/64/NCT03717064/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03717064"
23,"NCT03715530","Use of Placental Alpha Microglobulin-1(PAMG-1) to Diagnose Premature Rupture of Membranes in Pregnant Women","PAMG-1","Terminated","Has Results","Preterm Labor|Preterm Birth","Device: PAMG-1 immunoassay","Number of Participants With PAMG-1 Test Results That Matched the Results of Gold Standard Testing","Mark Santillan|AmniSure International LLC|University of Iowa","Female","18 Years to 50 Years   (Adult)","Not Applicable","162","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","200706757","September 2007","July 2011","July 2011","October 23, 2018","October 3, 2019","October 3, 2019","University of Iowa, Iowa City, Iowa, United States",,"https://ClinicalTrials.gov/show/NCT03715530"
